id,date,direction,duration,source,category,summary
CAL0199a078047276efb3429e77aec157bf,2025-10-01,inbound,22,Lafayette GMB,OPERATIONS,Job seeker inquiring about employment
CAL0199a0a1758778b099616c8323f060b7,2025-10-01,inbound,4,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Google listing scam call
CAL0199a0a61918769ca6c2460fc549d646,2025-10-01,inbound,22,Oakland ADU Builder & Room Addition,SYSTEM,Test call from Colorado technical support
CAL0199a0ad85777c4ca24c0d534c5d6045,2025-10-01,inbound,91,Lafayette GMB,NOT_FIT,Bathroom remodel inquiry from Windsor - outside service area
CAL0199a0c8e26777c391fe95bb0b6628ca,2025-10-01,inbound,8,Orinda GMB,SPAM,Digital activation department spam
CAL0199a1107e2e7a2e96b25ce8b0f115d7,2025-10-01,inbound,8,Lafayette GMB,SPAM,Digital activation department spam
CAL0199a1182a067899893d91422e40f645,2025-10-01,inbound,6,Orinda GMB,SPAM,Digital activation department spam
CAL0199a12d3d907e6abbb444c3d2fd35e6,2025-10-01,inbound,3,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,EMG listing department spam
CAL0199a1326a7f7e00a8122285b19b3a5a,2025-10-01,inbound,8,Pleasant Hill GMB,INCOMPLETE,Brief greeting with no content
CAL0199a149380b7043952d61eb91c05670,2025-10-01,inbound,4,Orinda GMB,INCOMPLETE,Brief greeting with no content
CAL0199a14e26437effb62dbae9c281124f,2025-10-01,inbound,2,Rhino Concrete Livermore,SPAM,Press button robocall
CAL0199a19d0e4872f0910a23fdc8cb5cbe,2025-10-01,inbound,29,Orinda GMB,SPAM,Merchant services telemarketing
CAL0199a1a0b7227c9dbaf8e6499abbf053,2025-10-01,inbound,45,Lafayette GMB,INCOMPLETE,Garbled conversation with no clear purpose
CAL0199a1eb912770ca9918123d55e670de,2025-10-01,inbound,63,Orinda GMB,SPAM,SEO services sales pitch about Google rankings
CAL0199a20270bf7d4085887a1c980754be,2025-10-01,inbound,80,Orinda GMB,OPERATIONS,Drywall worker seeking employment
CAL0199a592253e7e79b2e6baaf87dc6108,2025-10-02,inbound,55,Oakland ADU Builder & Room Addition,SPAM,Press 0/9 opt out robocall scam
CAL0199a598693a7f79834cce5e13bcff1a,2025-10-02,inbound,34,Rhino Concrete Oakland,SPAM,Google voice listing scam
CAL0199a5f5cfa6772b9e42e4352de981c1,2025-10-02,inbound,7,Orinda GMB,SPAM,Digital activation department spam
CAL0199aac419947718a440cca63670f7b7,2025-10-03,inbound,41,Rhino Drainage System Bay Area,SPAM,Google voice listing scam
CAL0199ab7819c476bab5ba4e2faa6df5f6,2025-10-03,inbound,41,Rhino Drainage System Bay Area,SPAM,Google voice listing scam
CAL0199abdbd93f7a34bb9dc20f2064558d,2025-10-03,inbound,31,Rhino Drainage System Bay Area,SPAM,Google voice listing scam
CAL0199b6d040ba71c18d2c5a25a5154946,2025-10-05,inbound,65,Orinda GMB,SPAM,Small business lending offer
CAL0199ba1d6a907f0bbd3bb20703788ce1,2025-10-06,inbound,90,Orinda GMB,SPAM,QuickBooks payment scam
CAL0199ba236df9787295179c231d53251e,2025-10-06,inbound,166,ROLLE- Lead Center,OPERATIONS,Material payment for 4 yards shirted red
CAL0199ba38c5fa709a924525b818187493,2025-10-06,outbound,43,Lafayette GMB,OUTBOUND,Outbound call to Harry about home remodel inquiry
CAL0199ba3c25d17c89a8c8c6f00bed72fa,2025-10-06,outbound,31,Lafayette GMB,OUTBOUND,Outbound call from Lori
CAL0199ba77bb9076dca881339a6f115a56,2025-10-06,inbound,34,ROLLE- Lead Center,OPERATIONS,Charlie requesting material for Carmen job
CAL0199ba7d7b467a7ea5b6da07e17d94ef,2025-10-06,inbound,99,ROLLE- Lead Center,OPERATIONS,Westside Building Material payment for stucco materials
CAL0199ba88dd357ec7988174249c29f3de,2025-10-06,inbound,62,Oakland ADU Builder & Room Addition,SPAM,Google business listing keyword scam
CAL0199bab89bd87ba8af061c95511ebbee,2025-10-06,inbound,45,Rhino Concrete Danville,SPAM,Opt out robocall
CAL0199bf52095c7830ab9b727fe2e3e7cf,2025-10-07,inbound,29,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,EMG listings opt out scam
CAL0199bf5bada275c6965ebad06c2815e3,2025-10-07,inbound,31,Rhino Drainage System Bay Area,SPAM,Google voice listing scam
CAL0199bf5ccf7e71708b603909489d29b3,2025-10-07,inbound,29,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,EMG listings opt out scam
CAL0199c00684a47653a2b37b2a9f8c5366,2025-10-07,inbound,74,Rhino Concrete Danville,OPERATIONS,Palisade Builders GC bidding opportunity for Glen at Heather Farms
CAL0199c0491cee72269ea8c973bda05d9e,2025-10-07,inbound,31,Rhino Drainage System Bay Area,SPAM,Google voice listing scam
CAL0199c05d59187f4f837fa69e969da9f1,2025-10-07,inbound,29,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,EMG listings opt out scam
CAL0199c48010b178568cc4fa96cd894e6d,2025-10-08,inbound,32,Rhino Drainage System Bay Area,SPAM,Google voice listing scam
CAL0199c4c5920075a1a5b21558811620cb,2025-10-08,inbound,19,Lafayette GMB,SPAM,Commercial cleaning telemarketing
CAL0199c4d8600876fda6cf29014089ab7b,2025-10-08,inbound,6,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Asking for owner - likely sales
CAL0199c54da77a747ea6495e73f9e45152,2025-10-08,inbound,42,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,EMG listings opt out scam
CAL0199c5508b327a979ca88039d07d5b78,2025-10-08,inbound,6,Lafayette GMB,SPAM,Asking for business owner - likely sales
CAL0199c58302d7e1187a11e6e40f0fb1ef,2025-10-08,inbound,7,Rhino Retaining Walls & Pavers Oakland,INCOMPLETE,Short call - just greeting and business owner
